book_a;book_b;count
0439064864;0439136350;71
0439136350;0439064864;71
0439064864;0590353403;67
0590353403;0439064864;67
0439139597;0439136350;65
0439136350;0439139597;65
0439064864;0439139597;60
0439139597;0439064864;60
0439136350;0590353403;58
0590353403;0439136350;58
0439064872;059035342X;53
059035342X;0439064872;53
043935806X;0439064864;50
0439136350;043935806X;50
0439139597;043935806X;50
0439064864;043935806X;50
043935806X;0439139597;50
043935806X;0439136350;50
0345337662;0345313860;47
0345313860;0345337662;47
0385504209;0316666343;45
0316666343;0385504209;45
0345351525;0345313860;44
0439139597;0590353403;44
0590353403;0439139597;44
0345313860;0345351525;44
0385504209;0671027360;43
0671027360;0385504209;43
0671001795;0312966970;40
0439136369;0439064872;40
0312966970;0671001795;40
0312966091;0671001795;40
0671001795;0312966091;40
0439064872;0439136369;40
0312971346;0312966970;39
059035342X;0439136369;39
0439136369;059035342X;39
0312966970;0312971346;39
0446672211;0316666343;38
0590353403;043935806X;38
0316666343;0446672211;38
043935806X;0590353403;38
0312971346;0312976275;37
034538475X;0345313860;37
0312971346;0312966091;37
0312966091;0312966970;37
0345351525;0345337662;37
0312976275;0312971346;37
0345337662;0345351525;37
0440214041;044021145X;37
044021145X;0440214041;37
0312966091;0312971346;37
0345313860;034538475X;37
0312966970;0312966091;37
0345337662;034538475X;36
034538475X;0345337662;36
059035342X;043935806X;35
0345351525;034538475X;35
034538475X;0345351525;35
043935806X;059035342X;35
0439139600;043935806X;35
043935806X;0439139600;35
0842329218;0842329129;34
0439139600;0439064872;34
0439064872;0439139600;34
0842329129;0842329218;34
0440211727;0440214041;33
0312966970;0312976275;33
0440214041;0440211727;33
0312976275;0312966970;33
0385335482;0385335881;32
0385335881;0385335482;32
0515131229;051513287X;32
0842329250;0842329218;32
051513287X;0515131229;32
0842329218;0842329250;32
0515132020;0515131229;31
0439136369;0439139600;31
0515131229;0515132020;31
0743418174;0316666343;31
0439139600;0439136369;31
0345339711;0345339738;31
0671001795;0061009059;31
0345339738;0345339711;31
0316666343;0743418174;31
0061009059;0671001795;31
051513287X;0515132020;30
0515136530;0515136379;30
0312976275;0312966091;30
0312966091;0312976275;30
0842329218;0842329242;30
0515132020;051513287X;30
0842329242;0842329218;30
0515136379;0515136530;30
0316096199;0316666343;29
0312971346;0671001795;29
0345339703;0345339738;29
0345339738;0345339703;29
0842329250;0842329242;29
0671001795;0312971346;29
0842329242;0842329250;29
0316666343;0316096199;29
0312966970;0312980140;28
0312980140;0312966970;28
0439139597;059035342X;28
0316666343;0679781587;28
0345339711;0345339703;28
059035342X;0439139597;28
0345339703;0345339711;28
0679781587;0316666343;28
0842329242;0842329129;27
059035342X;0439139600;27
043935806X;0439136369;27
0842329129;0842329242;27
0515128554;0515128546;27
0316666343;0312195516;27
0679781587;0312195516;27
0312195516;0679781587;27
0312195516;0316666343;27
0515128546;0515128554;27
0439139600;059035342X;27
0439136369;043935806X;27
0452282152;0312195516;26
0312980140;0671001795;26
0440211727;0440213525;26
0312195516;0385504209;26
0385504209;0142001740;26
0142001740;0385504209;26
0671001795;0312980140;26
0312195516;0452282152;26
0064407675;0064407667;26
0385504209;0312195516;26
0064407667;0064407675;26
0440213525;0440211727;26
0316666343;0671003755;25
0312971346;0312980140;25
0345339681;0345339703;25
0142001740;0316666343;25
0439064872;043935806X;25
0345339703;0345339681;25
0312966091;0061009059;25
0316601950;0316666343;25
0312990456;0671001795;25
0671001795;0312990456;25
0061009059;0312966091;25
0440220602;044021145X;25
0060928336;0060976845;25
0312966091;0312980140;25
0316666343;0142001740;25
0312980140;0312966091;25
044021145X;0440211727;25
0671003755;0316666343;25
0316666343;0316601950;25
0316666343;0060928336;25
0312980140;0312971346;25
0060976845;0060928336;25
0060928336;0316666343;25
0440211727;044021145X;25
044021145X;044022165X;25
043935806X;0439064872;25
044022165X;044021145X;25
044021145X;0440220602;25
0515126772;0515128554;24
0312278586;0316666343;24
0439136350;059035342X;24
1400031362;1400031354;24
059035342X;0439136350;24
0312980140;0312976275;24
1400034779;1400031354;24
