;User-ID;ISBN;Book-Rating
798;277042;0312283709;8
801;277042;0446605484;7
802;277042;0446611212;8
805;277042;0609804138;9
809;277042;074343627X;8
812;277042;0971880107;2
913;277157;0316154059;5
917;277157;0345452550;7
936;277157;0399148639;6
954;277157;0671024094;7
955;277157;0679450408;6
962;277157;0743486226;7
1456;277427;002542730X;10
1474;277427;0061009059;9
1522;277427;0316776963;8
1543;277427;0345413903;10
1564;277427;0380702843;8
1578;277427;0385424736;9
1581;277427;0385486804;9
1583;277427;0385503857;9
1584;277427;0385504209;8
1586;277427;039304016X;8
1601;277427;0399501487;9
1611;277427;0425116840;8
1615;277427;0425133516;9
1647;277427;0440224764;7
1650;277427;0440236061;8
1652;277427;0440236738;9
1659;277427;0441627404;10
1662;277427;0446350982;9
1670;277427;0446608890;10
1688;277427;0451191153;8
1690;277427;0451203593;10
1694;277427;0452284449;6
1708;277427;0552137030;8
1718;277427;0553280368;9
1724;277427;0553571656;10
1755;277427;0671528904;8
1776;277427;0679731148;9
1778;277427;0679736042;5
1797;277427;0740723367;9
1798;277427;0743406176;8
1799;277427;0743412028;9
1803;277427;0743457943;8
1807;277427;0767903382;10
1810;277427;0786866845;10
1828;277427;0811802981;10
1829;277427;0811811409;10
1842;277427;0836217691;10
1844;277427;0836218515;10
1849;277427;0836221192;10
2254;277523;0316603570;10
2255;277523;0316693200;10
2260;277523;0385508042;10
2261;277523;0385510438;10
2264;277523;0440241537;10
2265;277523;0446530891;10
2266;277523;0446613843;10
2267;277523;0515133302;10
2272;277523;0671886665;10
2273;277523;0684835983;10
2275;277523;0743206045;10
2278;277523;1558744150;10
2387;277623;002542730X;5
2388;277623;0028604199;9
2392;277623;0786890436;4
2393;277623;1400031346;8
2394;277623;1400031354;8
2450;277639;034539657X;8
2499;277639;0380731851;6
2522;277639;0425142485;7
2523;277639;0425147363;8
2524;277639;042516098X;5
2537;277639;0440211727;8
2540;277639;0440214041;9
2617;277639;0553579754;7
2675;277639;0812543262;8
2765;277710;0061015725;4
2769;277710;0446611638;5
2770;277710;0446613843;6
2771;277710;0451208765;10
2776;277710;0553582763;6
2828;277744;0061031550;8
2829;277744;0312421273;7
2831;277744;0345339681;3
2835;277744;0440235162;5
2846;277744;0887307876;9
2847;277744;0929634063;10
3125;277937;0060934417;9
3128;277937;0316168815;7
3131;277937;0452283205;7
3137;277937;0743225325;6
3138;277937;0743237188;7
3148;277945;0312974256;6
3150;277945;0312983301;6
3156;277945;0451203771;8
3159;277945;0515121843;7
3160;277945;051512317X;7
3161;277945;0515124214;7
3162;277945;0515134384;7
3165;277945;0515136379;7
3166;277945;0515136530;7
3167;277945;0515137111;8
3213;277965;0316789089;5
3225;277965;0385484518;10
3227;277965;0399141464;8
3228;277965;0399145087;7
3243;277965;0679457526;9
3244;277965;0679781587;9
3246;277965;0684874350;10
3252;277965;0786866845;9
3254;277965;0786881852;7
3337;278007;0316601950;6
3338;278007;034543479X;8
3339;278007;0374480095;8
3341;278007;0446670251;6
3342;278007;0804115761;7
3382;278026;0061009059;8
3384;278026;0061031410;8
3386;278026;0061094129;8
3391;278026;0380731851;5
3392;278026;0380820889;8
3394;278026;038533558X;9
3400;278026;0446527041;8
3406;278026;0449006522;8
3407;278026;0449219364;6
3408;278026;0449221512;5
3415;278026;0451206525;8
3418;278026;0515130389;8
3421;278026;0553582364;6
3422;278026;0671001795;8
3426;278026;0684810387;8
3428;278026;0743206045;7
3564;278137;0345337662;7
3585;278137;0380600129;8
3603;278137;0440940001;8
3610;278137;0446606812;7
3647;278137;0804106304;8
3664;278137;1558744150;9
3665;278137;1558745017;8
3796;278188;0156005891;8
3817;278188;0373218192;7
3819;278188;0373244487;6
3831;278188;0373484003;7
3858;278188;0440122090;4
3861;278188;044022103X;8
3862;278188;0440223571;9
3863;278188;0440225701;9
3873;278188;0446603589;9
3990;278194;0060926317;8
3992;278194;0140280553;5
3994;278194;0156011042;7
3995;278194;0345423135;9
4003;278194;0385498802;4
4006;278194;0440241537;7
4007;278194;0451209907;5
4008;278194;0452284449;8
4009;278194;051512219X;4
4010;278194;0553582364;6
4011;278194;0671683993;8
4013;278194;0688177859;9
4015;278194;0802139256;6
4022;278202;014025448X;2
4029;278202;0385324057;3
4031;278202;0385497466;3
4034;278202;0446527017;1
4041;278202;0671510126;10
4045;278202;0743206029;8
4082;278221;0440216745;7
4084;278221;0446613436;7
4086;278221;0553582755;9
4093;278221;0743460529;8
4098;278221;0804106304;9
4251;278356;0312265859;7
4253;278356;0374270325;9
4257;278356;0439064872;8
4258;278356;0439136369;10
4259;278356;0439139600;10
4260;278356;043935806X;10
4268;278356;0671016768;8
4300;278390;0380730847;7
4302;278390;0399147195;7
4303;278390;0425182908;4
4304;278390;0440236053;7
4307;278390;0553569058;9
4309;278390;0671027360;7
4310;278390;0671683993;10
4316;278390;080410753X;9
5985;278418;0394800168;10
5990;278418;0394820371;8
